item_id,order_id,product_id,quantity,unit_price,line_total
ITEM003744,ORD00842,PRD028,3,202,606
ITEM003467,ORD00787,PRD004,1,444,444
ITEM003894,ORD00877,PRD016,4,77,308
ITEM000633,ORD00147,PRD004,5,444,2220
ITEM004309,ORD00969,PRD019,5,65,325
ITEM004337,ORD00977,PRD042,4,68,272
ITEM002805,ORD00644,PRD003,3,157,471
ITEM000806,ORD00182,PRD024,3,47,141
ITEM001679,ORD00392,PRD031,3,143,429
ITEM002041,ORD00478,PRD007,1,51,51
ITEM001508,ORD00354,PRD043,1,62,62
ITEM000334,ORD00077,PRD014,4,121,484
ITEM000104,ORD00026,PRD014,1,121,
ITEM002847,ORD00653,PRD016,4,77,308
ITEM001603,ORD00376,PRD008,1,67,67
ITEM002189,ORD00507,PRD037,2,94,188
ITEM001960,ORD00457,PRD004,5,444,2220
ITEM003635,ORD00822,PRD004,1,444,444
ITEM000844,ORD00193,PRD034,2,125,250
ITEM003512,ORD00796,PRD041,3,43,129
ITEM004089,ORD00920,PRD020,3,44,132
ITEM000396,ORD00091,PRD031,3,143,429
ITEM000991,ORD00231,PRD036,1,54,54
ITEM003985,ORD00897,PRD043,2,62,124
ITEM002884,ORD00665,PRD031,5,,715
ITEM000517,ORD00121,PRD025,3,0,0
ITEM000672,ORD00154,PRD013,2,124,248
ITEM003968,ORD00894,PRD034,1,125,125
ITEM003100,ORD00710,PRD001,4,431,1724
ITEM003494,ORD00792,PRD042,5,68,340
ITEM001031,ORD00240,PRD017,2,20,40
ITEM003714,ORD00835,PRD028,2,202,404
ITEM004075,ORD00916,PRD043,100,62,186
ITEM001210,ORD00286,PRD040,1,284,284
ITEM004141,ORD00934,PRD002,100,128,128
ITEM002598,ORD00596,PRD033,4,202,808
ITEM002880,ORD00663,PRD041,1,43,43
ITEM004401,ORD00989,PRD040,2,284,
ITEM000445,ORD00103,PRD039,2,120,240
ITEM000053,ORD00010,PRD007,5,51,255
ITEM000060,ORD00012,PRD041,4,0,0
ITEM003655,ORD00825,PRD018,1,43,43
ITEM001846,ORD00429,PRD031,5,143,715
ITEM000143,ORD00033,PRD037,4,94,376
ITEM002909,ORD00670,PRD016,4,77,308
ITEM003149,ORD00719,PRD027,2,,550
ITEM003271,ORD00743,PRD021,5,,215
ITEM000904,ORD00209,PRD043,2,62,124
ITEM001307,ORD00310,PRD006,4,20,80
ITEM004184,ORD00946,PRD012,3,21,63
ITEM002142,ORD00497,PRD002,5,128,640
ITEM000172,ORD00041,PRD010,2,125,250
ITEM004133,ORD00932,PRD017,3,20,60
ITEM001808,ORD00421,PRD038,2,52,104
ITEM001413,ORD00335,PRD014,3,121,363
ITEM002778,ORD00638,PRD025,0,110,550
ITEM003526,ORD00798,PRD006,3,20,60
ITEM003310,ORD00751,PRD010,3,125,375
ITEM001794,ORD00417,PRD034,2,125,250
ITEM004259,ORD00961,PRD016,1,77,77
ITEM000503,ORD00118,PRD003,1,157,157
ITEM002059,ORD00480,PRD020,4,44,176
ITEM002049,ORD00479,PRD004,0,444,
ITEM003427,ORD00779,PRD001,2,431,862
ITEM001767,ORD00411,PRD005,3,48,144
ITEM003865,ORD00871,PRD025,4,110,440
ITEM003471,ORD00787,PRD017,1,20,20
ITEM004417,ORD00993,PRD029,5,218,1090
ITEM001579,ORD00372,PRD025,4,110,440
ITEM001034,ORD00240,PRD025,4,110,440
ITEM003611,ORD00818,PRD018,1,43,43
ITEM002779,ORD00639,PRD013,1,124,124
ITEM000303,ORD00071,PRD042,3,68,204
ITEM000148,ORD00034,PRD002,4,128,512
ITEM003433,ORD00780,PRD020,1,0,0
ITEM000525,ORD00123,PRD015,3,35,105
ITEM001790,ORD00416,PRD043,5,62,310
ITEM003033,ORD00696,PRD002,2,128,256
ITEM002605,ORD00598,PRD023,4,199,796
ITEM002819,ORD00647,PRD016,2,77,154
ITEM003119,ORD00714,PRD009,5,152,760
ITEM003377,ORD00766,PRD014,2,12100,24200
ITEM003946,ORD00889,PRD028,1,202,202
ITEM003659,ORD00825,PRD003,5,157,785
ITEM001440,ORD00340,PRD039,5,120,600
ITEM003557,ORD00805,PRD025,2,110,220
ITEM000091,ORD00024,PRD025,2,110,220
ITEM003953,ORD00892,PRD041,2,43,86
ITEM001303,ORD00309,PRD037,2,0,0
ITEM003652,ORD00824,PRD035,1,67,67
ITEM004087,ORD00919,PRD021,4,43,172
ITEM003356,ORD00762,PRD036,1,54,54
ITEM002527,ORD00579,PRD016,1,77,77
ITEM001453,ORD00342,PRD022,4,29,116
ITEM003797,ORD00856,PRD025,5,110,550
ITEM002693,ORD00619,PRD002,4,128,512
ITEM001997,ORD00464,PRD002,1,128,128
ITEM003846,ORD00867,PRD022,4,29,116
ITEM003614,ORD00818,PRD032,3,10000,30000
ITEM004362,ORD00982,PRD022,1,29,29
ITEM000740,ORD00170,PRD007,5,51,255
ITEM004407,ORD00991,PRD039,5,120,600
ITEM002222,ORD00512,PRD042,2,68,136
ITEM002341,ORD00540,PRD034,2,125,250
ITEM003478,ORD00790,PRD009,5,152,760
ITEM001754,ORD00409,PRD028,4,202,808
ITEM004063,ORD00914,PRD043,2,62,124
ITEM003899,ORD00878,PRD015,1,35,35
ITEM002228,ORD00514,PRD010,2,125,250
ITEM002652,ORD00610,PRD037,4,94,376
ITEM003133,ORD00716,PRD023,3,199,597
ITEM002428,ORD00556,PRD032,4,0,0
ITEM003322,ORD00754,PRD009,3,152,456
ITEM003484,ORD00790,PRD034,5,125,625
ITEM003106,ORD00711,PRD007,0,51,153
ITEM002574,ORD00591,PRD027,-1,275,550
ITEM004084,ORD00918,PRD023,5,199,995
ITEM000202,ORD00050,PRD028,1,202,202
ITEM003474,ORD00789,PRD020,0,0,0
ITEM000592,ORD00139,PRD039,4,120,
ITEM004383,ORD00985,PRD028,4,202,
ITEM001446,ORD00341,PRD036,1,54,54
ITEM002224,ORD00513,PRD041,2,43,86
ITEM003593,ORD00813,PRD040,1,284,284
ITEM003395,ORD00770,PRD040,2,284,568
ITEM000210,ORD00051,PRD030,3,25,75
ITEM004127,ORD00931,PRD035,4,67,268
ITEM001534,ORD00363,PRD005,4,48,192
ITEM000516,ORD00121,PRD037,4,94,376
ITEM001942,ORD00454,PRD001,4,431,1724
ITEM002004,ORD00468,PRD039,1,120,120
ITEM000927,ORD00214,PRD033,5,202,1010
ITEM001535,ORD00363,PRD009,4,152,608
ITEM000974,ORD00226,PRD012,2,21,42
ITEM004258,ORD00960,PRD028,3,0,0
ITEM004034,ORD00906,PRD002,5,128,640
ITEM003619,ORD00819,PRD015,1,35,
ITEM002900,ORD00668,PRD032,1,100,100
ITEM003233,ORD00735,PRD044,2,43,86
ITEM000953,ORD00221,PRD036,2,54,108
ITEM000099,ORD00026,PRD020,2,44,88
ITEM000440,ORD00101,PRD003,-1,157,157
ITEM003785,ORD00854,PRD004,4,444,1776
ITEM000003,ORD00001,PRD032,3,100,300
ITEM002215,ORD00511,PRD002,1,128,128
ITEM003654,ORD00824,PRD009,1,152,152
ITEM001092,ORD00255,PRD028,4,202,
ITEM004250,ORD00959,PRD008,1,67,
ITEM001338,ORD00319,PRD031,4,143,572
ITEM003872,ORD00872,PRD043,4,62,248
ITEM001905,ORD00445,PRD023,1,199,199
ITEM002748,ORD00631,PRD037,2,94,188
ITEM002364,ORD00544,PRD022,4,29,116
ITEM003967,ORD00894,PRD011,1,96,96
ITEM000496,ORD00116,PRD001,-1,431,1724
ITEM003431,ORD00779,PRD026,5,184,920
ITEM001982,ORD00461,PRD024,4,47,188
ITEM000777,ORD00177,PRD006,1,,20
ITEM000580,ORD00137,PRD002,3,128,384
ITEM001602,ORD00376,PRD038,2,52,104
ITEM001684,ORD00394,PRD043,1,62,
ITEM001592,ORD00375,PRD016,4,77,308
ITEM004254,ORD00960,PRD044,3,43,129
ITEM001339,ORD00320,PRD015,1,,35
ITEM003099,ORD00710,PRD028,3,202,606
ITEM003558,ORD00805,PRD015,3,35,105
ITEM004219,ORD00953,PRD014,3,121,363
ITEM001850,ORD00431,PRD043,3,62,186
ITEM001145,ORD00270,PRD024,1,47,47
ITEM003994,ORD00898,PRD026,3,184,552
ITEM003508,ORD00796,PRD017,5,20,100
ITEM003319,ORD00754,PRD016,3,77,231
ITEM001434,ORD00340,PRD037,5,94,470
ITEM003404,ORD00771,PRD016,5,77,385
ITEM000019,ORD00004,PRD025,3,110,330
ITEM001345,ORD00321,PRD029,5,218,1090
ITEM002091,ORD00489,PRD035,5,67,335
ITEM000157,ORD00036,PRD038,100,52,260
ITEM000184,ORD00044,PRD032,3,100,300
ITEM000648,ORD00150,PRD023,2,199,398
ITEM003423,ORD00777,PRD027,3,275,825
ITEM001591,ORD00374,PRD016,2,77,154
ITEM000995,ORD00232,PRD035,3,67,201
ITEM003925,ORD00884,PRD008,2,67,134
ITEM002857,ORD00656,PRD030,2,25,50
ITEM003428,ORD00779,PRD009,2,0,0
ITEM002367,ORD00544,PRD007,4,51,204
ITEM001040,ORD00241,PRD010,4,125,500
ITEM001703,ORD00398,PRD010,1,125,125
